City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Narsaq,GL,60.9167,-46.05,34.02,100,100,4.76,snow
80,Dolores,AR,-36.3132,-57.6792,79.0,32,100,8.21,light rain
81,Kinablangan,PH,7.6947,126.5503,78.44,82,100,7.34,overcast clouds
82,Sonoita,MX,31.85,-112.8333,77.07,12,0,3.51,clear sky
83,Namatanai,PG,-3.6667,152.4333,80.1,82,100,5.79,overcast clouds
84,Barrow,US,71.2906,-156.7887,17.62,79,100,6.91,overcast clouds
85,Kamaishi,JP,39.2667,141.8833,53.28,79,52,5.44,broken clouds
86,Elizabeth City,US,36.2946,-76.2511,67.01,78,100,21.85,overcast clouds
87,Cape Town,ZA,-33.9258,18.4232,67.26,67,0,11.5,clear sky
88,Constitucion,CL,-35.3333,-72.4167,60.62,74,88,7.11,overcast clouds
89,Weiser,US,44.251,-116.9693,48.4,52,100,5.19,overcast clouds
90,Diu,IN,20.7141,70.9822,75.9,51,0,8.43,clear sky
91,Charters Towers,AU,-20.1,146.2667,73.96,36,46,8.21,scattered clouds
92,Pandamatenga,BW,-18.5278,25.627,77.29,39,18,1.79,few clouds
93,Puerto El Triunfo,SV,13.2833,-88.55,94.12,65,10,8.77,clear sky
94,Thompson,CA,55.7435,-97.8558,46.56,57,20,17.27,few clouds
95,Guara,BR,-20.4283,-47.8242,90.36,31,87,5.5,overcast clouds
96,Codrington,AU,-38.2667,141.9667,48.7,89,93,9.6,overcast clouds
97,Orocue,CO,4.7912,-71.3354,88.57,60,81,6.67,broken clouds
98,Ostrovnoy,RU,68.0531,39.5131,35.13,96,98,21.18,overcast clouds
99,San Patricio,US,28.017,-97.5169,82.29,28,99,17.74,overcast clouds
100,Bambanglipuro,ID,-7.95,110.2833,74.01,79,96,2.48,overcast clouds
101,Trelew,AR,-43.249,-65.3051,63.41,18,100,29.77,overcast clouds
102,General Pico,AR,-35.6566,-63.7568,80.4,24,100,7.74,light rain
103,Marystown,CA,47.1666,-55.1483,48.96,47,0,17.63,clear sky
104,Taltal,CL,-25.4,-70.4833,63.46,65,22,7.52,few clouds
105,Kichera,RU,55.9375,110.0997,26.55,56,98,5.21,overcast clouds
106,Sitka,US,57.0531,-135.33,39.09,87,75,6.91,moderate rain
107,Goulburn,AU,-34.75,149.7167,46.15,84,99,18.41,overcast clouds
108,Murud,IN,18.3258,72.965,73.4,63,0,5.23,clear sky
109,Sorland,NO,67.667,12.6934,46.26,86,100,16.17,overcast clouds
110,Yulara,AU,-25.2406,130.9889,64.24,100,75,8.05,broken clouds
111,Sepolno Krajenskie,PL,53.452,17.5317,58.48,82,81,8.88,broken clouds
112,La Ronge,CA,55.1001,-105.2842,53.85,28,40,18.41,scattered clouds
113,Havre-Saint-Pierre,CA,50.2334,-63.5986,43.16,61,0,23.02,clear sky
114,Souillac,MU,-20.5167,57.5167,73.78,78,40,3.44,scattered clouds
115,Oussouye,SN,12.485,-16.5469,84.29,70,93,6.6,overcast clouds
116,Saint-Philippe,RE,-21.3585,55.7679,71.19,80,16,9.95,few clouds
117,Bosaso,SO,11.2842,49.1816,79.32,75,4,3.51,clear sky
118,Cockburn Town,TC,21.4612,-71.1419,82.36,69,40,4.61,scattered clouds
119,San Jose,US,37.3394,-121.895,69.85,42,100,1.99,overcast clouds
120,Berdigestyakh,RU,62.0989,126.6992,17.04,93,100,7.52,overcast clouds
121,Lagoa,PT,39.05,-27.9833,62.53,61,19,12.91,light rain
122,Klaksvik,FO,62.2266,-6.589,50.92,92,100,22.3,light rain
123,Luena,AO,-11.7833,19.9167,64.74,92,98,7.49,overcast clouds
124,Darnah,LY,32.767,22.6367,68.81,65,0,19.89,clear sky
125,Katherine,AU,-14.4667,132.2667,82.72,61,58,3.44,broken clouds
126,Sacramento,US,38.4666,-121.3177,74.95,37,0,5.75,clear sky
127,Ponta Do Sol,PT,32.6667,-17.1,73.71,83,8,6.44,clear sky
128,Teknaf,BD,20.8624,92.3058,73.69,83,12,6.44,few clouds
129,Nagato,JP,34.3833,131.2,59.77,76,57,17.92,broken clouds
130,Ribeira Grande,PT,38.5167,-28.7,63.0,59,20,6.91,few clouds
131,Isangel,VU,-19.55,169.2667,78.3,81,0,6.58,clear sky
132,Ilulissat,GL,69.2167,-51.1,36.43,100,100,9.35,light rain
133,Saint-Leu,RE,-21.15,55.2833,72.43,75,42,1.14,scattered clouds
134,Ampanihy,MG,-24.7,44.75,70.32,82,100,5.28,overcast clouds
135,Contamana,PE,-7.3333,-75.0167,93.33,45,100,5.82,moderate rain
136,Grindavik,IS,63.8424,-22.4338,37.87,87,75,9.22,broken clouds
137,Kangaatsiaq,GL,68.3065,-53.4641,36.45,98,100,10.45,moderate rain
138,Caravelas,BR,-17.7125,-39.2481,78.4,79,57,10.92,broken clouds
139,Mar Del Plata,AR,-38.0023,-57.5575,68.02,42,0,18.41,light rain
140,Labuhan,ID,-6.8844,112.2051,75.4,74,99,11.9,overcast clouds
141,Hilo,US,19.7297,-155.09,81.63,78,100,9.22,overcast clouds
142,Ormara,PK,25.2088,64.6357,78.49,76,43,5.03,scattered clouds
143,Saldanha,ZA,-33.0117,17.9442,69.85,86,90,8.19,overcast clouds
144,Buenos Aires,AR,-34.6132,-58.3772,93.97,23,0,9.22,clear sky
145,Henties Bay,NA,-22.116,14.2845,57.96,92,0,8.95,clear sky
146,Ust-Maya,RU,60.4167,134.5333,22.26,93,100,7.34,overcast clouds
147,Bonthe,SL,7.5264,-12.505,78.94,85,100,5.1,overcast clouds
148,Kapaa,US,22.0752,-159.319,80.58,78,40,14.97,scattered clouds
149,Safranbolu,TR,41.2508,32.6942,46.53,90,0,1.12,clear sky
150,Mizdah,LY,31.4451,12.9801,63.99,56,1,6.11,clear sky
151,Sola,VU,-13.8833,167.55,81.27,72,9,4.59,clear sky
152,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,65,0,10.36,clear sky
153,Flin Flon,CA,54.7682,-101.865,49.84,40,40,13.8,scattered clouds
154,Port Lincoln,AU,-34.7333,135.8667,52.14,75,0,7.9,clear sky
155,Avarua,CK,-21.2078,-159.775,77.05,69,75,11.5,broken clouds
156,Sao Francisco De Paula,BR,-29.4481,-50.5836,75.04,46,0,0.76,clear sky
157,Faanui,PF,-16.4833,-151.75,79.07,78,11,11.5,light rain
158,Lakes Entrance,AU,-37.8811,147.981,53.71,64,98,19.48,overcast clouds
159,Conakry,GN,9.538,-13.6773,81.77,81,55,8.5,light rain
160,Antofagasta,CL,-23.65,-70.4,61.88,68,3,7.76,clear sky
161,Nynashamn,SE,58.9034,17.9479,56.1,95,100,10.56,overcast clouds
162,Kaeo,NZ,-35.1,173.7833,65.32,97,96,10.65,overcast clouds
163,Minggang,CN,32.4586,114.0486,56.25,79,47,6.89,scattered clouds
164,Hambantota,LK,6.1241,81.1185,78.04,76,58,4.88,broken clouds
165,Gat,IL,31.61,34.7642,72.28,71,100,5.7,overcast clouds
166,Puerto Leguizamo,CO,-0.1934,-74.7819,81.55,80,100,1.66,overcast clouds
167,Cherskiy,RU,68.75,161.3,6.13,96,100,7.4,overcast clouds
168,Nabire,ID,-3.3667,135.4833,74.8,93,87,3.91,moderate rain
169,College,US,64.8569,-147.8028,8.8,83,75,3.44,broken clouds
170,Libreville,GA,0.3925,9.4537,73.71,96,100,3.29,very heavy rain
171,Walvis Bay,NA,-22.9575,14.5053,58.08,94,1,4.61,clear sky
172,Lalmohan,BD,22.3384,90.7419,72.55,79,3,8.61,clear sky
173,Carnarvon,AU,-24.8667,113.6333,66.09,63,48,18.75,scattered clouds
174,Nampula,MZ,-15.1165,39.2666,73.09,71,0,7.05,clear sky
175,San Policarpo,PH,12.1791,125.5072,80.28,83,100,24.67,moderate rain
176,Verkhnyaya Sinyachikha,RU,57.976,61.6673,29.98,91,92,6.29,overcast clouds
177,Verkhovazhye,RU,60.7472,42.0465,44.06,98,100,7.47,overcast clouds
178,Buala,SB,-8.145,159.5921,79.57,83,25,0.51,light rain
179,Kirakira,SB,-10.4544,161.9205,79.99,77,47,3.0,scattered clouds
180,Rawson,AR,-43.3002,-65.1023,62.53,21,100,30.49,overcast clouds
181,San Jeronimo,PE,-11.9472,-75.2829,71.76,24,22,6.55,few clouds
182,Kampong Thum,KH,12.7111,104.8887,72.0,89,99,4.47,moderate rain
183,Huarmey,PE,-10.0681,-78.1522,67.69,72,7,10.22,clear sky
184,Provideniya,RU,64.3833,-173.3,15.21,76,85,6.44,overcast clouds
185,Oia,PT,40.5426,-8.5386,71.13,87,95,7.78,overcast clouds
186,Bethel,US,41.3712,-73.414,58.37,41,0,6.91,clear sky
187,Erzurum,TR,40.0,41.5,38.88,78,1,5.37,clear sky
188,Gainesville,US,29.6516,-82.3248,78.78,72,100,11.5,overcast clouds
189,Andra,RU,62.5147,65.8878,19.42,96,44,4.05,scattered clouds
190,Victoria,HK,22.2855,114.1577,77.38,80,9,5.01,clear sky
191,Mount Isa,AU,-20.7333,139.5,71.37,43,0,3.44,clear sky
192,Shubarkuduk,KZ,49.1447,56.4872,37.09,47,100,11.07,overcast clouds
193,Itaituba,BR,-4.2761,-55.9836,89.76,62,20,4.61,few clouds
194,Tasiilaq,GL,65.6145,-37.6368,35.76,77,100,3.65,overcast clouds
