City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
557,Santiago,CL,82.29,broken clouds,-33.4569,-70.6483,Hotel Panamericano
558,Miri,MY,76.3,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
562,Santa Cruz De La Palma,ES,78.13,clear sky,28.6835,-17.7642,H10 Taburiente Playa
571,Kalabo,ZM,77.11,light rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
572,Anloga,GH,81.01,light rain,5.7947,0.8973,Pin Drop Hotel
573,Vanimo,PG,79.97,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
575,Kasempa,ZM,75.88,overcast clouds,-13.4584,25.8338,Lolelunga Forest Reserve
577,Kankon,IN,76.8,overcast clouds,15.0167,74.0167,Palolem Beach Resort
579,Matara,LK,76.33,clear sky,5.9485,80.5353,Amaloh Boutique Resort
591,Araouane,ML,80.01,clear sky,18.9048,-3.5265,
592,Formosa,AR,87.78,broken clouds,-26.1775,-58.1781,Asterión Departamentos
597,Laredo,US,79.09,clear sky,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
598,San Juan Del Sur,NI,83.34,few clouds,11.2529,-85.8705,Nuestra Casa
604,Raga,SS,77.11,overcast clouds,8.4596,25.678,
606,Hobyo,SO,79.77,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
608,Nioro,GM,81.97,overcast clouds,13.35,-15.75,
610,Maldonado,UY,76.39,overcast clouds,-34.6667,-54.9167,La Cimarrona
611,Khanpur,PK,76.68,clear sky,28.6453,70.6567,Ahmad Bartan store
613,Point Pedro,LK,79.61,scattered clouds,9.8167,80.2333,Gtr homes
614,Chongwe,ZM,75.54,clear sky,-15.3292,28.682,Grakas Lodge
617,Morondava,MG,79.23,scattered clouds,-20.2833,44.2833,La Case Bambou
618,Atar,MR,89.51,clear sky,20.5169,-13.0499,Oumou Elghoura
619,Rodrigues Alves,BR,78.21,overcast clouds,-7.738,-72.6509,Pousada Aconchego
620,Ciudad Bolivar,VE,86.41,overcast clouds,8.1222,-63.5497,Hotel Edi
625,Hadejia,NG,81.91,overcast clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
626,Villa Union,MX,85.96,clear sky,23.2,-106.2333,My Fantasy Auto-Hotel
635,Bartica,GY,89.92,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
636,Batticaloa,LK,77.38,scattered clouds,7.7102,81.6924,Grand Star Guest House
638,Zacapu,MX,79.59,clear sky,19.8333,-101.7167,LUCIA GARCIA LOPEZ
643,San Pedro De Macoris,DO,84.81,broken clouds,18.4616,-69.2972,Apartahotel Guaraguao
645,San Pelayo,CO,86.43,scattered clouds,8.9583,-75.8363,Parque
647,Puerto Madero,MX,88.0,broken clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
649,Sinazongwe,ZM,80.74,few clouds,-17.2614,27.4618,Lakeview Lodge
665,Umm Lajj,SA,79.92,clear sky,25.0213,37.2685,Moon light Furnished Units
677,Amahai,ID,79.05,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
679,Wewak,PG,78.33,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
